From	To
A0QRE8	MSMEG_1091
I7G317	bpoC
A0QRG4	MSMEG_1108
A0QRM0	MSMEG_1165
I7G3F2	MSMEI_1220
A0QRV8	MSMEG_1255
A0QRX9	phd
I7G3L1	MSMEI_1280
A0QS19	MSMEG_1317
I7FXZ1	MSMEI_1303
A0QS41	MSMEG_1341
I7FFZ0	MSMEI_1315
A0QS52	MSMEG_1353
A0QS62	rplJ
A0QS97	rpsG
A0QS98	tuf
A0QSD7	rpsC
A0QSD8	rplP
A0QSE0	rpsQ
A0QSG0	rplX
A0QSG6	rpsE
I7G436	rplO
A0QSG8	rplO
A0QSH8	adk
I7G455	MSMEI_1463
A0QSJ3	MSMEG_1499
I7FYC4	MSMEI_1479
A0QSK9	MSMEG_1515
A0QSL3	infA
A0QSL8	rpoA
A0QSQ1	glmM
A0QSR5	MSMEG_1574
I7G5Y1	gadB
A0QSS3	groS
A0QSS4	groL2
A0QSU3	guaB
I7G4D6	guaB
A0QSY1	MSMEG_1642
I7G4H0	MSMEI_1603
I7G642	MSMEI_1612
A0QSY9	MSMEG_1650
I7G4K2	MSMEI_1639
A0QT18	MSMEG_1680
I7FYM1	pmmB
A0QT33	MSMEG_1695
A0QT41	MSMEG_1703
I7FYR6	lhr
A0QT91	MSMEG_1757
I7FH77	MSMEI_1716
A0QT92	MSMEG_1758
I7G4T8	pcd
A0QT96	MSMEG_1762
A0QTA4	MSMEG_1770
I7G4Z0	accD5
A0QTE7	MSMEG_1813
A0QTG3	whiB2
A0QTI1	selD
I7G6L5	selD
A0QTK2	mtrA
I7F9R6	MSMEI_1843
A0QTL1	MSMEG_1883
I7G576	MSMEI_1849
A0QTL7	MSMEG_1889
I7G590	MSMEI_1864
A0QTN2	MSMEG_1904
A0QTQ8	MSMEG_1930
I7G5C3	rhlE
I7G5C7	MSMEI_1894
A0QTR4	MSMEG_1936
A0QTR6	MSMEG_1938
I7FA13	MSMEI_1903
A0QTS3	MSMEG_1945
A0QTS8	MSMEG_1950
I7G6X8	MSMEI_1907
A0QTT2	MSMEG_1954
I7FHY8	MSMEI_1911
A0QTT5	MSMEG_1957
I7FA22	MSMEI_1913
I7G5J0	MSMEI_1980
A0QTZ9	MSMEG_2025
I7FZA7	MSMEI_2001
A0QU20	MSMEG_2048
I7G5N6	fadE23
A0QU53	MSMEG_2080
I7FZD4	MSMEI_2051
A0QU69	MSMEG_2098
I7G5R4	MSMEI_2065
A0QU82	MSMEG_2112
I7FIE8	pgmA
A0QUA6	pgm
I7FIM7	echA1
A0QUJ1	MSMEG_2227
I7G7P8	MSMEI_2214
A0QUN5	hypB
A0QUW3	mnmA
A0QUW9	gatC
A0QUX1	gatB
I7FZV4	ilvB
A0QUX6	ilvB
A0QUX8	ilvC
I7G827	MSMEI_2326
A0QUY8	MSMEG_2386
I7FZY4	MSMEI_2349
A0QV12	MSMEG_2410
A0QV26	ftsY
I7G6I1	ftsY
I7FJ85	glnB
A0QV28	MSMEG_2426
A0QV37	rpsP
I7G6P8	MSMEI_2418
A0QV79	MSMEG_2478
A0QVL2	mqo
A0QVP0	MSMEG_2641
I7G714	echA16
I7G914	truB
A0QVP8	truB
A0QVR3	dapB
I7FK02	MSMEI_2615
A0QVS7	MSMEG_2680
I7G0H9	ftsK
A0QVT6	MSMEG_2690
I7G0I2	MSMEI_2629
A0QVU2	MSMEG_2695
I7FK20	MSMEI_2630
A0QVU3	MSMEG_2696
I7G996	MSMEI_2661
A0QVX4	MSMEG_2728
A0QVX6	MSMEG_2731
I7G0K1	hflX
A0QVY1	hflX
I7G9A9	bisC
A0QVY3	MSMEG_2738
I7FC84	MSMEI_2672
A0QVY4	MSMEG_2739
A0QVY5	lexA
I7FK73	rpoD
A0QW02	sigA
I7G0L5	MSMEI_2694
A0QW06	MSMEG_2763
I7FCB2	MSMEI_2697
A0QW09	MSMEG_2766
I7FK83	MSMEI_2700
A0QW12	MSMEG_2770
I7G0N5	MSMEI_2724
A0QW36	MSMEG_2793
I7FKM0	MSMEI_2824
A0QWD0	MSMEG_2898
I7G7U2	MSMEI_2847
A0QWF1	MSMEG_2920
I7G0W7	MSMEI_2853
A0QWF7	MSMEG_2926
I7FKQ2	pgsA1
A0QWG4	MSMEG_2933
I7G7W3	MSMEI_2862
A0QWG7	MSMEG_2936
I7FKQ9	tesB2
A0QWG9	tesB
A0QWH1	MSMEG_2940
A0QWJ3	secF
I7G111	secF
I7GAA3	MSMEI_2945
A0QWQ0	MSMEG_3020
I7FD71	gmk
A0QWS9	gmk
I7G171	coaBC
A0QWT2	coaBC
A0QWX4	ppc
A0QWX9	tal
I7GAH5	tkt
A0QWY0	tkt
I7FDD2	MSMEI_3056
A0QX14	MSMEG_3137
A0QX24	moxR
I7FDE1	MSMEI_3066
I7FLD9	MSMEI_3074
A0QX32	MSMEG_3155
I7G8L7	mutA
A0QX35	mutA
I7G1C7	mutB
A0QX36	MSMEG_3159
I7FDH2	dnaE1
A0QX55	MSMEG_3178
I7G1F3	hisD
A0QX81	hisD
I7FDL3	MSMEI_3136
A0QX94	MSMEG_3218
A0QX95	trpC
I7G1G7	gltB
A0QXA1	MSMEG_3225
I7GAS3	pyk
A0QXA3	pyk
I7G8T9	MSMEI_3147
A0QXA5	MSMEG_3229
A0QXC0	MSMEG_3247
I7G1I1	MSMEI_3164
I7GAT9	MSMEI_3166
A0QXC2	MSMEG_3249
I7FDP6	MSMEI_3172
A0QXC8	MSMEG_3255
I7FLM8	MSMEI_3175
A0QXD2	MSMEG_3259
I7FEK8	MSMEI_3427
A0QY23	MSMEG_3507
I7GA27	MSMEI_3533
A0QYD3	MSMEG_3618
I7G3A1	MSMEI_3554
A0QYF4	MSMEG_3639
I7GBT4	MSMEI_3556
A0QYF6	MSMEG_3641
A0QYG2	garA
A0QYL8	MSMEG_3705
A0QYQ7	pyrG
I7G3J3	MSMEI_3665
A0QYR3	MSMEG_3754
A0QYS8	argF
A0QYU7	rpmI
A0QYU8	infC
I7GC56	infC
A0QYV1	lysX
I7GC66	MSMEI_3715
A0QYV9	MSMEG_3804
I7GAK0	MSMEI_3722
A0QYW6	MSMEG_3811
A0QYY6	rpsA
I7G3P9	polA
A0QYZ2	polA
A0QZ11	rbpA
A0QZ12	ppm1
A0QZ48	pup
A0QZ54	mpa
A0QZA2	MSMEG_3952
I7FNN4	MSMEI_3860
I7FFX7	MSMEI_3867
A0QZB0	MSMEG_3959
A0QZN2	MSMEG_4088
I7G4C8	MSMEI_3989
A0QZY2	MSMEG_4191
A0R006	wag31
A0R012	ftsZ
I7GBM4	ftsZ
A0R018	murD
A0R048	trpD
I7G4Q8	ctaE
A0R049	MSMEG_4260
A0R051	MSMEG_4262
I7GD61	qcrA
I7G4R4	mmpS3
A0R054	MSMEG_4265
I7FPI1	MSMEI_4171
A0R061	MSMEG_4272
A0R062	MSMEG_4273
I7GD66	MSMEI_4172
I7GD73	sucB
A0R072	sucB
A0R082	glnE
I7G4V3	MSMEI_4205
A0R095	MSMEG_4306
I7GDC1	pknE
A0R0F3	MSMEG_4366
I7GDI9	MSMEI_4364
A0R0Q9	MSMEG_4474
I7FQ51	MSMEI_4384
A0R0S9	MSMEG_4495
I7GCC0	dnaJ2
A0R0T8	dnaJ
I7GDL2	MSMEI_4395
A0R0U1	MSMEG_4507
A0R0W9	MSMEG_4535
A0R115	proA
A0R152	rne
I7GDV2	MSMEI_4515
A0R157	MSMEG_4632
I7G5Q2	MSMEI_4528
A0R171	MSMEG_4646
A0R196	clpX
I7GDX1	clpP
A0R197	clpP
A0R199	tig
A0R1B5	MSMEG_4692
I7GCS8	MSMEI_4605
A0R1E4	MSMEG_4722
A0R1H5	MSMEG_4755
I7GE21	MSMEI_4635
A0R1X3	MSMEG_4906
I7G6A5	MSMEI_4779
A0R1Y7	MSMEG_4920
A0R1Z0	nucS
A0R204	atpF
I7GD74	MSMEI_4816
A0R207	MSMEG_4943
I7G6E7	prfA
A0R214	prfA
A0R218	rho
I7G6F1	rho
I7FIT2	MSMEI_4830
A0R221	MSMEG_4957
I7FIV7	cysC
A0R241	cysNC
I7G6I0	MSMEI_4858
A0R248	MSMEG_4985
I7GEI2	MSMEI_4870
A0R260	oppD
I7FJ04	MSMEI_4896
A0R287	MSMEG_5024
I7GEJ9	MSMEI_4900
A0R291	MSMEG_5028
A0R2B1	kgd
I7G6S8	htrA
A0R2D2	MSMEG_5070
A0R2D3	rseA
I7GDI0	MSMEI_4962
A0R2F0	MSMEG_5088
I7G6U7	MSMEI_4973
A0R2G2	MSMEG_5100
A0R2G5	dapD
I7FJC9	fadD36
A0R2H4	MSMEG_5114
I7G6X1	typA
A0R2J0	typA
I7FRT1	MSMEI_5069
A0R2R2	MSMEG_5204
I7GDR8	fumC
A0R2U8	fumC
I7G751	MSMEI_5108
A0R2V4	MSMEG_5246
A0R2X1	greA
I7FRX4	fadA3
A0R2Y1	MSMEG_5273
I7GF40	MSMEI_5145
A0R2Z2	MSMEG_5284
A0R2Z9	MSMEG_5291
I7FJU1	fadD14
I7G7C4	MSMEI_5183
A0R336	MSMEG_5328
A0R348	MSMEG_5342
I7GDX8	MSMEI_5197
I7G7D8	MSMEI_5198
A0R349	MSMEG_5343
I7GF84	MSMEI_5215
A0R368	MSMEG_5362
I7GF88	MSMEI_5225
A0R376	ehuA
I7FK71	prs
A0R3C8	prs
I7FK81	ksgA
A0R3D9	ksgA
I7GFB9	MSMEI_5292
A0R3E3	MSMEG_5442
I7GE63	MSMEI_5304
A0R3F5	MSMEG_5454
I7GE74	moeA1
A0R3H0	MSMEG_5470
A0R3I7	mprB
A0R3I9	rpmF
I7G7V7	MSMEI_5351
A0R3K5	MSMEG_5505
A0R3L2	MSMEG_5513
I7G7W9	MSMEI_5361
I7GFE4	purH
A0R3L4	purH
I7GFE5	MSMEI_5368
A0R3L9	MSMEG_5520
I7GEB7	MSMEI_5375
A0R3M6	MSMEG_5527
A0R3Q2	MSMEG_5554
I7FSM1	MSMEI_5402
I7FSX2	prrA
A0R407	prrA
I7FL00	MSMEI_5530
A0R425	MSMEG_5680
I7FL03	MSMEI_5535
A0R430	MSMEG_5685
I7FL92	MSMEI_5635
A0R4C8	MSMEG_5788
A0R4C9	MSMEG_5789
I7FT73	MSMEI_5643
A0R4D7	MSMEG_5797
I7GFR3	purM
A0R4D8	purM
I7GEV3	purF
A0R4E0	purF
I7GEW9	purL
A0R4G4	purL
I7G901	ptrB
A0R4H9	MSMEG_5839
I7GF06	MSMEI_5717
A0R4L4	MSMEG_5875
I7GFU6	MSMEI_5730
A0R4M8	MSMEG_5890
A0R4R5	MSMEG_5926
I7GF50	MSMEI_5768
I7FLT5	MSMEI_5837
A0R4Y6	MSMEG_5998
I7G9K9	MSMEI_5839
A0R4Y8	MSMEG_6000
A0R4Z6	kstR2
A0R530	MSMEG_6044
I7GFC4	bluB
A0R538	bluB
I7G9T2	irpA
A0R543	MSMEG_6059
A0R566	cynT
A0R574	clpC1
A0R582	MSMEG_6099
I7FU42	MSMEI_5940
I7GG49	MSMEI_5971
A0R5B3	MSMEG_6130
A0R5E1	cspA
I7FMC9	MSMEI_6013
A0R5F5	MSMEG_6173
I7GG68	MSMEI_6022
A0R5G4	MSMEG_6182
I7FME3	MSMEI_6033
A0R5H5	MSMEG_6193
I7GAB5	MSMEI_6056
A0R5J8	MSMEG_6217
A0R5M0	MSMEG_6239
I7GFJ6	MSMEI_6080
A0R5M2	MSMEG_6241
I7FMI8	asd
A0R5N7	asd
I7GGA0	leuA
A0R5Q2	leuA
I7GFL4	dnaX
A0R5R6	dnaX
I7FUI6	MSMEI_6123
A0R5R8	MSMEG_6288
A0R5T4	MSMEG_6303
I7GGB1	MSMEI_6139
I7GFM5	cyp123
A0R5U2	MSMEG_6312
A0R5Z0	bpa
A0R605	MSMEG_6380
I7GAQ2	embB
A0R614	MSMEG_6389
I7GFQ6	fadD32
A0R618	MSMEG_6393
A0R628	glfT2
A0R655	MSMEG_6430
I7GGF4	MSMEI_6263
A0R656	MSMEG_6431
A0R657	MSMEG_6432
I7FMY9	MSMEI_6264
I7GAT8	MSMEI_6266
A0R659	MSMEG_6434
I7GFS5	MSMEI_6270
A0R663	MSMEG_6438
I7GFV2	glgX
A0R6D2	glgX
I7GB03	pyrE
A0R6E5	pyrE
I7GB17	MSMEI_6366
A0R6G6	MSMEG_6541
I7GBB8	MSMEI_6461
A0R6R0	MSMEG_6639
I7GBD4	omt
A0R6T1	MSMEG_6661
I7GGN1	MSMEI_6543
A0R6Z6	MSMEG_6726
I7GG39	MSMEI_6575
A0R727	MSMEG_6757
I7FVN6	glpK
A0R729	glpK
I7GG50	MSMEI_6600
A0R753	MSMEG_6783
A0R7G6	ino1
I7FPF5	MSMEI_6739
A0R7I5	MSMEG_6929
I7FPG4	MSMEI_6749
A0R7J6	MSMEG_6941
I7F8C1	fusA
A4ZHU4	fusA
I7F4Z3	MSMEI_0209
A0QNZ3	MSMEG_0216
I7FE16	iniA
A0QQB4	MSMEG_0695
I7FJV9	infB
Q3L894	tnpR
I7FLE7	tnpR
I7FTG2	MSMEI_5734
I7FX25	thiC
A0QQP2	thiC
Q3I5Q7	MSMEG_0919
I7FXA5	MSMEI_0897
I7FZC5	fadE24
I7FZQ6	MSMEI_0991
I7FZT6	etfA
A0QUV7	etfA
I7G175	MSMEI_2983
Q3L885	pks
I7G359	pks
I7G3Q5	MSMEI_0653
I7G3U0	MSMEI_3794
A0QZ37	MSMEG_3884
I7G5L3	MSMEI_4483
I7G8K2	MSMEI_5542
I7G8S0	priA
I7G9M1	MSMEI_2765
A0QW71	MSMEG_2839
I7GCM1	MSMEI_4527
A0R170	orB
I7GEP4	MSMEI_4935
I7GEY4	MSMEI_5686
A0R4I3	MSMEG_5843
O85501	ndk
P60281	rpoB
P71533	secA1
P71534	fabG
P9WI81	pknB
Q3L890	gap
Q59560	recA
Q9AFI5	ssb
A0QND6	dnaN
A0QND9	MSMEG_0004
A0QNE0	gyrB
I7G3C5	gyrB
A0QRT3	gyrB
I7G130	mbtH
A0QNE8	MSMEG_0016
I7G2C2	ppiA
A0QNF6	MSMEG_0024
I7FCA3	trpG
A0QNG0	MSMEG_0029
I7FVE3	ftsW
A0QNG4	MSMEG_0032
A0QNH4	saeA
I7FCC1	MSMEI_0051
A0QNH9	MSMEG_0049
A0QNI2	MSMEG_0052
A0QNI5	espE
A0QNI6	MSMEG_0056
I7G2E1	MSMEI_0057
I7G154	MSMEI_0059
A0QNI8	MSMEG_0058
A0QNI9	eccA1
A0QNJ2	eccCb1
A0QNJ6	esxA
A0QNJ9	MSMEG_0069
I7FCD9	MSMEI_0071
A0QNK1	MSMEG_0071
I7G2F2	MSMEI_0072
A0QNK2	MSMEG_0074
I7F4J1	MSMEI_0073
I7G166	MSMEI_0079
A0QNK9	MSMEG_0081
A0QNL0	eccE1
I7F4K0	MSMEI_0083
A0QNL3	MSMEG_0085
I7FVI4	MSMEI_0085
A0QNL5	MSMEG_0087
A0QNL6	ptsI
I7FCF3	MSMEI_0086
I7G172	MSMEI_0089
A0QNL9	MSMEG_0091
I7FVI8	MSMEI_0090
A0QNM0	MSMEG_0092
A0QNM4	MSMEG_0096
I7F4L2	MSMEI_0093
I7FVJ1	MSMEI_0095
A0QNM6	MSMEG_0098
I7G180	MSMEI_0104
A0QNN6	MSMEG_0108
I7FCH0	MSMEI_0106
A0QNN8	pntA
I7FP37	MSMEI_4010
A0QZQ3	pntA
A0QNQ9	MSMEG_0131
I7G2I8	MSMEI_0128
I7FCJ5	MSMEI_0137
A0QNR8	MSMEG_0140
I7G2J9	MSMEI_0143
A0QNS4	MSMEG_0146
I7FCM5	MSMEI_0177
A0QNV9	MSMEG_0181
I7GFT3	tnpA
B6ZDR0	tnpA
A0QNX9	MSMEG_0202
A0QRB6	MSMEG_1058
I7G2P4	mmpL5
A0QP02	MSMEG_0225
I7F511	MSMEI_0224
A0QP08	MSMEG_0231
I7FCS2	MSMEI_0227
A0QP11	MSMEG_0234
I7FCS7	MSMEI_0232
A0QP16	MSMEG_0239
A0QP17	MSMEG_0240
I7G2Q5	MSMEI_0233
A0QP20	MSMEG_0243
I7FVV1	MSMEI_0236
I7G2Q8	MSMEI_0238
A0QP22	MSMEG_0246
I7G2R2	mmpL3
A0QP27	MSMEG_0250
I7G1G2	fadD4
A0QP34	MSMEG_0257
I7FCY8	fadD12
A0QP81	MSMEG_0304
I7FW17	MSMEI_0306
A0QP89	edd
I7G1K3	MSMEI_0310
A0QP93	MSMEG_0317
A0QP94	MSMEG_0319
I7FD02	MSMEI_0312
A0QP95	MSMEG_0318
A0QPA9	MSMEG_0334
I7FD18	accA2
I7G1M8	MSMEI_0345
A0QPC7	MSMEG_0352
A0QPE2	MSMEG_0367
I7G1N9	MSMEI_0360
I7FD59	MSMEI_0362
A0QPE4	MSMEG_0369
I7G1P3	fabG4
A0QPE7	MSMEG_0372
I7G1R8	mmpL4b
A0QPF7	mmpL4b
I7F5J3	rmlB
Q2YHI3	rmlB
A0QPG1	MSMEG_0386
A0QPG2	MSMEG_0387
Q2YHI2	rmt2
I7G1S0	rmt2
A0QPI4	MSMEG_0409
Q2M5K5	papA3
I7F5K9	papA3
I7FWE0	MSMEI_0421
A0QPK7	MSMEG_0432
I7F5P7	MSMEI_0439
A0QPM7	MSMEG_0452
I7FWF5	MSMEI_0441
A0QPM9	MSMEG_0454
I7F5U6	MSMEI_0489
A0QPS6	MSMEG_0502
I7G1X8	MSMEI_0490
A0QPS7	MSMEG_0503
I7FWJ6	MSMEI_0516
A0QPV4	MSMEG_0531
I7FWK0	MSMEI_0521
A0QPV9	MSMEG_0536
I7FYP8	MSMEI_1690
I7FGA1	MSMEI_3972
A0QZL8	MSMEG_4072
I7G3H0	MSMEI_0533
A0QPX1	MSMEG_0547
A0QPY0	MSMEG_0557
I7FDN2	MSMEI_0542
I7F603	cspA
A0QPY2	MSMEG_0559
I7FWM3	mmpL6
A0QPZ9	MSMEG_0576
A0QQ22	MSMEG_0599
I7G3K8	fadD2
I7FWP0	MSMEI_0591
A0QQ30	MSMEG_0608
A0QQ31	MSMEG_0607
I7FDT1	MSMEI_0592
A0QQ39	eccB3
A0QQ40	eccC3
A0QQ45	espG3
A0QQ48	eccE3
I7G243	MSMEI_0620
A0QQ58	MSMEG_0636
A0QQ93	MSMEG_0672
I7G260	MSMEI_0655
I7F6D3	MSMEI_0675
A0QQB2	MSMEG_0692
I7G3S9	MSMEI_0679
A0QQB5	MSMEG_0696
I7F6E2	MSMEI_0680
A0QQB6	MSMEG_0697
I7G273	iniC
A0QQB7	MSMEG_0698
I7F6F8	hspR
A0QQD1	MSMEG_0713
I7G296	clpB
A0QQF0	clpB
I7G3W7	MSMEI_0724
A0QQF8	MSMEG_0740
I7FWX6	MSMEI_0737
A0QQH1	MSMEG_0753
A0QQH2	MSMEG_0754
I7FE87	MSMEI_0738
A0QQI4	purT
I7F6L3	purT
A0QQJ4	fgd
I7G2D5	MSMEI_0766
A0QQJ9	MSMEG_0782
A0QQK3	pknG
A0QQK8	thiO
I7F6N2	thiO
I7G2E2	thiS
A0QQK9	thiS
A0QQL0	thiG
I7G415	MSMEI_0779
A0QQL2	MSMEG_0795
I7G446	MSMEI_0814
A0QQP9	MSMEG_0833
I7G2H6	sodC
A0QQQ1	sodC
I7FEI3	MSMEI_0823
A0QQQ8	MSMEG_0843
A0QQT2	MSMEG_0866
I7FX52	MSMEI_0847
A0QQU5	groL1
I7G2L8	MSMEI_0866
A0QQV2	MSMEG_0887
I7FEN2	gabD2
A0QQV4	MSMEG_0889
I7G4C3	MSMEI_0874
A0QQW0	MSMEG_0895
I7FX91	MSMEI_0877
A0QQW3	MSMEG_0898
I7G4D2	MSMEI_0879
A0QQW5	MSMEG_0900
I7G5V6	MSMEI_1506
A0QSN7	MSMEG_1543
I7FX95	lpd
A0QQW8	lpdA
I7G4D8	MSMEI_0884
A0QQX0	pcaC
A0QQX4	MSMEG_0909
I7F734	fadB2
A0QQX7	MSMEG_0912
I7G2Q2	umaA
A0QQX8	MSMEG_0913
I7F739	MSMEI_0895
A0QQY2	MSMEG_0917
I7G2Q6	MSMEI_0896
A0QQY3	MSMEG_0918
I7F758	MSMEI_0915
A0QR03	MSMEG_0938
I7F763	proC
A0QR08	proC
I7FEY1	hemC
A0QR18	hemC
A0QR19	hemD
I7G4G9	MSMEI_0929
A0QR33	hemL
I7FXD5	MSMEI_0947
A0QR37	MSMEG_0973
I7FF08	kgtP
A0QR49	MSMEG_0985
A0QR51	MSMEG_0987
I7F798	MSMEI_0960
I7G2U2	MSMEI_0966
A0QR57	MSMEG_0993
A0QR73	MSMEG_1010
I7FXF5	MSMEI_0982
A0QR74	MSMEG_1011
I7FZQ3	MSMEI_2237
I7G2V0	MSMEI_0986
A0QR78	MSMEG_1015
I7FF35	MSMEI_0993
A0QR82	MSMEG_1021
A0QR86	MSMEG_1026
I7G667	MSMEI_0995
I7FB19	MSMEI_1019
A0QRA8	MSMEG_1049
I7FXI0	MSMEI_1027
A0QRB8	MSMEG_1060
I7FF63	MSMEI_1028
A0QRB9	MSMEG_1061
I7G2Y6	MSMEI_1041
A0QRD2	MSMEG_1073
A0QRD4	MSMEG_1076
I7G4Q7	MSMEI_1044
A0QRG6	MSMEG_1110
I7FFB0	MSMEI_1078
I7G321	MSMEI_1081
A0QRG9	MSMEG_1112
I7FXL0	MSMEI_1082
A0QRH0	MSMEG_1114
A0QRJ0	htpX
I7FXM2	MSMEI_1109
A0QRJ7	MSMEG_1141
A0QRK9	MSMEG_1153
I7G4X0	MSMEI_1121
I7FFJ2	MSMEI_1156
A0QRP2	MSMEG_1188
A0QRP3	MSMEG_1189
I7G4Z7	MSMEI_1157
I7FXQ2	MSMEI_1166
A0QRQ3	MSMEG_1199
I7G537	MSMEI_1208
A0QRU6	MSMEG_1243
I7FXT2	MSMEI_1211
A0QRU9	MSMEG_1246
A0QRV5	MSMEG_1252
I7FFQ2	MSMEI_1217
I7G546	MSMEI_1218
A0QRV6	MSMEG_1253
I7F7Y5	MSMEI_1219
A0QRV7	MSMEG_1254
I7F7Y9	MSMEI_1224
A0QRW3	MSMEG_1260
A0QRW4	MSMEG_1261
I7G3F5	MSMEI_1225
I7F7Z3	MSMEI_1229
A0QRW8	MSMEG_1265
I7FFS7	MSMEI_1242
A0QRY2	MSMEG_1280
A0QRY5	vapB
I7FFT2	MSMEI_1247
A0QRY7	MSMEG_1285
I7G575	MSMEI_1253
A0QRZ3	MSMEG_1291
I7G591	MSMEI_1273
A0QS13	MSMEG_1311
A0QS32	MSMEG_1330
I7FFX4	MSMEI_1292
A0QS34	MSMEG_1332
I7F847	MSMEI_1294
I7G3N0	MSMEI_1302
A0QS40	MSMEG_1340
I7G5B1	secE
A0QS43	secE
A0QS46	rplA
I7G5C1	rplL
A0QS63	rplL
I7F874	mkl
A0QS64	MSMEG_1366
A0QS66	rpoC
I7G3R8	mmpL5
A0QS80	MSMEG_1382
I7FY19	nfo
A0QS81	MSMEG_1383
I7FG29	MSMEI_1355
A0QS91	MSMEG_1393
I7G5E9	MSMEI_1356
A0QS92	MSMEG_1394
I7F8B5	MSMEI_1357
A0QS93	MSMEG_1395
A0QS99	MSMEG_1402
I7G5L5	MSMEI_1391
A0QSC1	MSMEG_1426
A0QSD0	rpsJ
A0QSD1	rplC
A0QSD2	rplD
A0QSD5	rpsS
A0QSD9	rpmC
I7FGC8	MSMEI_1420
A0QSF0	MSMEG_1456
A0QSG1	rplE
A0QSG3	rpsH
A0QSG4	rplF
I7FGD9	rplR
A0QSG5	rplR
I7FGE4	sppA
A0QSH0	sppA
A0QSH1	MSMEG_1477
I7G5Q6	MSMEI_1441
A0QSH3	MSMEG_1479
A0QSH5	MSMEG_1481
I7G5R6	MSMEI_1456
A0QSI6	MSMEG_1492
I7F8Q0	mmsA
A0QSJ2	mmsA
A0QSK6	rmlB
I7F8R4	MSMEI_1477
A0QSK7	MSMEG_1513
I7G5T8	MSMEI_1481
A0QSL1	MSMEG_1517
A0QSL7	rpsD
I7FYD3	MSMEI_1494
A0QSM4	MSMEG_1530
A0QSP9	rpsI
A0QSR6	alr
I7G602	MSMEI_1561
A0QSU1	MSMEG_1600
A0QSU4	MSMEG_1603
A0QSV7	MSMEG_1618
A0QSX2	MSMEG_1632
I7FGU0	MSMEI_1595
A0QSX3	MSMEG_1634
I7G631	MSMEI_1596
A0QSX4	MSMEG_1635
A0QSX6	MSMEG_1637
I7G4G6	MSMEI_1598
I7FGU6	MSMEI_1600
A0QSX8	MSMEG_1639
I7G635	MSMEI_1601
A0QSX9	MSMEG_1640
